study,location,year
1,Cruz Alta,2011
2,Passo Fundo,2011
3,Ponta Grossa,2011
4,Castro,2011
5,Condor,2011
6,Lages,2011
7,Guarapuava,2011
8,Cruz Alta,2012
9,Passo Fundo,2012
10,Ponta Grossa,2012
11,Ponta Grossa,2012
12,Capão Bonito do Sul,2012
13,Cruz Alta,2013
14,Passo Fundo,2013
15,Passo Fundo,2013
16,Guarapuava,2013
17,Capão Bonito do Sul,2013
18,Giruá,2013
19,Londrina,2014
20,Passo Fundo,2014
21,Cruz Alta,2014
22,Palmeira,2014
23,Guarapuava,2014
24,Passo Fundo,2014
25,Água Santa,2014
26,Giruá,2014
27,Ponta Grossa,2014
28,Palmeira,2015
29,Guarapuava,2015
30,Cruz Alta,2015
31,Passo Fundo,2015
32,Cruz Alta,2016
33,Londrina,2016
34,Palmeira,2016
35,Passo Fundo,2016
36,Passo Fundo,2016
37,Cruz Alta,2017
38,Guarapuava,2017
39,Palmeira,2017
40,Passo Fundo,2017
41,Passo Fundo,2017
42,Pelotas,2017
43,Cruz Alta,2018
44,Guarapuava,2018
45,Palmeira,2018
46,Passo Fundo,2018
47,Passo Fundo,2018
48,Pelotas,2018
49,Cruz Alta,2019
50,Palmeira,2019
51,Passo Fundo,2019
52,Passo Fundo,2019
53,Passo Fundo,2019
54,Ponta Grossa,2020
55,Cruz Alta,2020
56,Passo Fundo,2020
57,Palmeira,2020
58,Santa Bárbara do Sul,2020
59,Guarapuava,2020
60,Ponta Grossa,2021
61,Cruz Alta,2021
62,Passo Fundo,2021
63,Palmeira,2021
64,Santa Bárbara do Sul,2021
65,Guarapuava,2021
66,Passo Fundo,2021
67,Guarapuava,2022
68,Palmeira,2022
69,Ponta Grossa,2022
70,Cruz Alta,2022
71,Jaboticaba,2022
72,Passo Fundo,2022
73,Passo Fundo,2022
74,Passo Fundo,2022
75,Passo Fundo,2022
76,Santa Bárbara do Sul,2022
77,Campo Mourão,2023
78,Guarapuava,2023
79,Palmeira,2023
80,Ponta Grossa,2023
81,Cruz Alta,2023
82,Jaboticaba,2023
83,Coxilha,2023
84,Passo Fundo,2023
85,Santa Bárbara do Sul,2023
86,Ponta Grossa,2023
87,Santa Bárbara do Sul,2023
88,Cruz Alta,2023
89,Palmeira,2023
90,Passo Fundo,2023
91,Guarapuava,2023
92,Ponta Grossa,2024
93,Santa Bárbara do Sul,2024
94,Campo Mourão,2024
95,Jaboticaba,2024
96,Cruz Alta,2024
97,Bagé,2024
98,Palmeira,2024
99,Passo Fundo,2024
100,Passo Fundo,2024
101,Capão do Leão,2024
102,Passo Fundo,1998
103,Passo Fundo,1998
104,Passo Fundo,1998
105,Passo Fundo,1998
106,Passo Fundo,1998
107,Passo Fundo,1999
108,Passo Fundo,1999
109,Passo Fundo,1999
110,Passo Fundo,1999
111,Passo Fundo,1999
112,Passo Fundo,1999
113,Passo Fundo,2000
114,Passo Fundo,2000
115,Passo Fundo,2000
116,Passo Fundo,2001
117,Passo Fundo,2001
118,Passo Fundo,2001
119,Passo Fundo,2003
120,Passo Fundo,2003
121,Passo Fundo,2003
122,Cruz Alta,2009
123,Passo Fundo,2009
124,Lagoa Vermelha,2009
125,Muitos Capões,2009
